X,Y,Alt,Annual_SMB (m w.e.),Year
368666.12150856346,5094369.018560644,2631.1,-4.755254794520548,2014
368313.46865266253,5094184.84584384,2632.8,-3.0486592741935485,2015
368478.63259357435,5094271.101551967,2633.5,-3.069989224137931,2013
368478.63259357435,5094271.101551967,2633.5,-4.286934246575343,2014
368478.63259357435,5094271.101551967,2633.5,-3.0302951482479785,2012
368665.7236751118,5094369.126330054,2635.8,-3.8593168831168834,2011
368314.38186623616,5094185.527876504,2637.7,-2.975528017241379,2013
368314.38186623616,5094185.527876504,2637.7,-2.8885269541778977,2012
368314.38186623616,5094185.527876504,2637.7,-4.638174657534247,2014
368476.91980152077,5094270.435163843,2638.5,-4.141081168831168,2011
368665.8177557364,5094368.824532776,2639.0,-3.912099173553719,2010
368665.9196585256,5094368.92252448,2641.0,-3.241466573816156,2009
368665.9196585256,5094368.92252448,2641.0,-3.639455357142857,2008
368313.7978254806,5094186.339187357,2642.0,-3.9532383116883114,2011
368476.20648230764,5094269.7492211,2642.8,-3.930210743801653,2010
368478.35035087797,5094272.006943882,2642.9,-3.874258928571429,2008
368478.35035087797,5094272.006943882,2642.9,-3.4062869080779943,2009
368654.0604914947,5094386.252080375,2643.3,-3.5707863881401614,2007
368691.399268561,5094393.620343001,2643.8,-3.1056339779005526,2006
368693.4140718408,5094389.281544897,2645.2,-3.1986448787061996,2005
368317.151060154,5094183.973915861,2645.3,-4.165661157024793,2010
368313.50776049384,5094186.844790088,2646.9,-3.3147200557103065,2009
368313.50776049384,5094186.844790088,2646.9,-3.68460989010989,2008
368423.26592381235,5094267.2855008,2646.9,-4.093556603773584,2007
368604.5505174645,5094359.824742827,2647.1,-3.056254054054054,2003
368463.5186055835,5094280.495940434,2647.3,-3.28725,2006
368258.59366108954,5094185.719455253,2648.6,-3.8809043126684633,2007
368466.8190404193,5094275.432090427,2649.2,-3.0302951482479785,2005
368660.526203478,5094374.327283362,2649.4,-3.222794117647059,2004
368462.80289339426,5094289.908584813,2649.8,-3.7016092436974786,2004
368305.9602045838,5094199.690619835,2650.3,-3.2963308011049723,2006
368465.13687949773,5094291.662660371,2651.1,-2.9141027027027024,2003
368658.50162177416,5094378.166345226,2652.6,-3.7685324585635356,2002
368308.21033037675,5094192.047694291,2652.7,-3.172063342318059,2005
368300.5550053681,5094204.495690559,2653.3,-3.6555693277310923,2004
368470.88515440654,5094283.951294036,2653.8,-4.286138121546962,2002
368299.1633422178,5094210.022124215,2654.4,-2.9940628378378378,2003
368658.7054273649,5094378.362328642,2654.5,-2.65719375,2001
368657.04543490475,5094380.394517882,2655.3,-2.4719426121372035,2000
368470.1698796722,5094283.16540399,2655.5,-2.80329375,2001
368468.5274841833,5094286.097118206,2656.2,-2.5933713720316622,2000
368304.9685529467,5094200.109963049,2657.7,-4.594885359116022,2002
368303.6987909336,5094196.5353243,2659.9,-2.73024375,2001
368305.4272262844,5094198.00129239,2660.7,-2.628065303430079,2000
