survey_id,date,elevation_date,latitude,longitude,elevation,thickness,thickness_uncertainty,flag,rgi_id,x_proj,y_proj,i_grid,j_grid,ij_grid
197,2008-02-26,2008-02-26,45.979081,7.8698607,3491.0,54,,,RGI60-11.02773,-50.29574488451449,5091723.252197126,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790843,7.8698651,3491.0,54,,,RGI60-11.02773,-49.954911364860905,5091723.618845641,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790877,7.8698695,3491.0,54,,,RGI60-11.02773,-49.614077796388045,5091723.996604822,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790909,7.869874,3491.0,54,,,RGI60-11.02773,-49.26549829942493,5091724.352142668,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790942,7.8698784,3491.0,54,,,RGI60-11.02773,-48.92466490159078,5091724.71879124,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9790975,7.8698828,3491.0,54,,,RGI60-11.02773,-48.583831544373965,5091725.085439832,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791007,7.8698872,3491.0,54,,,RGI60-11.02773,-48.24299831437346,5091725.440977798,144,138,0144_0138
197,2008-02-26,2008-02-26,45.979104,7.8698916,3491.0,54,,,RGI60-11.02773,-47.90216503753144,5091725.807626429,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791073,7.869896,3491.0,54,,,RGI60-11.02773,-47.56133180118359,5091726.174275076,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791106,7.8699004,3491.0,54,,,RGI60-11.02773,-47.220498605206735,5091726.540923745,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791139,7.8699048,3491.0,54,,,RGI60-11.02773,-46.879665449847245,5091726.907572432,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791172,7.8699094,3491.0,54,,,RGI60-11.02773,-46.52334004709416,5091727.274221021,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791204,7.8699138,3491.0,55,,,RGI60-11.02773,-46.18250705677949,5091727.629759103,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791237,7.8699182,3491.0,55,,,RGI60-11.02773,-45.84167402320932,5091727.996407848,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791269,7.8699226,3490.0,55,,,RGI60-11.02773,-45.50084111191922,5091728.3519459665,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791303,7.869927,3490.0,55,,,RGI60-11.02773,-45.16000807742841,5091728.729705396,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791336,7.8699315,3490.0,55,,,RGI60-11.02773,-44.81142902368384,5091729.09635414,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791368,7.8699359,3490.0,55,,,RGI60-11.02773,-44.47059623248189,5091729.451892316,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791401,7.8699403,3490.0,55,,,RGI60-11.02773,-44.12976340122933,5091729.818541159,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791434,7.8699447,3490.0,55,,,RGI60-11.02773,-43.78893061047101,5091730.1851900155,144,138,0144_0138
197,2008-02-26,2008-02-26,45.9791466,7.8699491,3490.0,55,,,RGI60-11.02773,-43.44809793829751,5091730.540728252,144,138,0144_0138
