X,Y,Alt,Annual_SMB (m w.e.),Year
452911.1795743619,5161426.316139355,2607.5,-3.2011257102272723,2013
452911.0088736713,5161417.721259984,2608.1,-1.6570973360655736,2012
452911.7422000443,5161419.406353522,2611.6,-4.57475625,2011
452914.4519087129,5161409.854448272,2613.5,-4.60215,2010
452882.6453499056,5161363.895525717,2613.8,-3.951788409703504,2007
452915.37588746054,5161406.036862043,2614.5,-3.1859621848739494,2009
452915.1105051707,5161402.742796783,2615.3,-3.1517864010989016,2008
452915.65516399924,5161410.030510498,2618.4,-3.512700808625337,2007
453744.3842730763,5162210.206222835,2742.4,-1.900087601078167,2016
453784.76326134684,5162259.894027381,2747.1,-0.8995252659574469,2015
453774.58201090794,5162240.600179264,2748.0,-2.058408904109589,2014
453768.64193073474,5162223.42164791,2748.4,-1.2347940340909092,2013
453767.51540544117,5162232.142271357,2749.2,-0.933099609375,2012
453754.3180773843,5162212.008510752,2749.5,-1.437599582172702,2011
453766.5206585563,5162227.362996126,2753.7,-2.524608,2010
453761.12318765954,5162232.46919618,2754.4,-1.3589748603351957,2009
453763.05648935423,5162229.131460641,2755.5,-1.2643269230769232,2008
453768.5869593629,5162230.72126961,2758.2,-2.0113495934959347,2007
453767.79537612747,5162231.136911838,2758.9,-2.2505700808625337,2007
453836.1294829988,5162500.325145104,2774.9,-1.37881875,2009
453836.1294829988,5162500.325145104,2774.9,-1.37881875,2009
453859.28560832294,5162558.753347863,2809.0,-1.2101414835164834,2008
453859.28560832294,5162558.753347863,2809.0,-1.2101414835164834,2008
453951.1048467434,5163421.35586403,2839.8,-1.5358221024258758,2016
453932.58658906544,5163460.51593214,2845.2,-1.290952479338843,2014
453937.66767410625,5163459.615161952,2846.6,-0.6972954545454546,2013
453935.1771018528,5163460.064554437,2847.0,0.36525,2012
453561.6684587681,5164356.806302813,2923.9,-0.32488544474393527,2016
453554.16217736714,5164406.745493009,2928.9,0.7275857712765956,2015
453558.04596563085,5164405.968482139,2930.5,1.245083984375,2012
453552.9489925444,5164406.069731968,2930.6,0.8985351239669421,2014
453559.3610763892,5164406.7421985185,2931.0,0.9836846590909091,2013
453551.76757236966,5164406.993021273,2932.5,0.6927506983240224,2011
453552.872875383,5164407.27100502,2935.6,0.157788,2010
453549.09168916877,5164403.146953602,2936.8,0.7487624999999999,2009
453555.46668558667,5164412.018523784,2938.5,0.4324800824175824,2008
453553.0767272629,5164407.466915731,2940.5,0.8581890243902439,2007
454038.4665886798,5165393.226304331,3122.6,1.148066976127321,2012
454038.65455737506,5165392.622689406,3122.8,1.1870625,2013
454038.10852027696,5165395.33300025,3123.4,1.2640914804469274,2011
454038.65455737506,5165392.622689406,3123.9,1.0997747933884299,2014
454014.67671625165,5165408.595956676,3124.7,0.7786648351648352,2008
454026.05868951837,5165417.8679513335,3125.3,1.0782646276595744,2015
454026.05868951837,5165417.8679513335,3125.4,0.796461590296496,2016
454024.93948759953,5165416.890384451,3127.9,1.2296749999999999,2009
454026.1566447532,5165417.766025206,3128.1,0.09447799999999999,2010
454025.6529704669,5165417.576071075,3130.1,0.04233355795148248,2007
454025.65495591145,5165417.676011753,3130.4,0.04267866847826087,2007
454301.6124869644,5166077.561431242,3233.9,1.4096518567639258,2012
454302.1082193913,5166077.351622138,3234.4,0.869738950276243,2011
454302.1062338501,5166077.251681439,3234.8,1.8738490691489362,2015
454302.1062338501,5166077.251681439,3235.3,1.032741913746631,2016
454302.1062338501,5166077.251681439,3235.3,1.911336647727273,2013
454302.1062338501,5166077.251681439,3236.0,1.31048489010989,2014
454302.1902902234,5166076.450170303,3236.1,1.5036125,2009
454302.01026423054,5166077.453548376,3236.2,0.529856,2010
454302.0863784399,5166076.252274444,3236.4,1.4870892857142854,2008
454358.74414435186,5166094.82273027,3240.0,1.6575203804347824,2007
