X,Y,Alt,Annual_SMB (m w.e.),Year
411615.72764448705,5094078.861517485,3091.0,-2.5467156593406592,2016
411593.99745890265,5094092.285771632,3093.0,-1.838032258064516,2020
411591.35335947905,5094110.33317298,3093.0,-1.5316614441416894,2015
411611.86787554825,5094085.935667987,3093.0,-2.3715814763231196,2014
411636.3404825227,5094059.460794391,3093.0,-2.274421621621622,2017
411611.20336778037,5094082.649592673,3093.3,-2.0747397540983608,2010
411621.17316209746,5094050.761566442,3095.0,-2.1081277173913042,2011
411628.4046312283,5094062.61618101,3097.0,-0.9182262569832403,2012
411628.4046312283,5094062.61618101,3097.0,-1.8699925149700598,2009
411628.4046312283,5094062.61618101,3097.0,-0.8867513623978203,2013
412349.6745570722,5094187.386701706,3121.0,-1.3785241935483872,2020
412349.6745570722,5094187.386701706,3121.0,-1.1017706043956044,2019
412372.3253703547,5094169.945333615,3123.0,-1.262948910081744,2015
412384.1799538703,5094162.713848,3125.0,-1.6165322802197801,2016
412384.1799538703,5094162.713848,3125.0,-1.5636648648648648,2017
412373.20672243077,5094163.929540116,3125.0,-1.7306135097493038,2005
412318.8912352291,5094197.989924752,3126.0,-0.9431385793871866,2014
412318.8912352291,5094197.989924752,3126.0,-0.6090817438692099,2013
412318.8912352291,5094197.989924752,3126.0,-0.4040195530726257,2012
412379.0796796315,5094167.712953278,3126.5,-1.0895941011235954,2018
412375.1523302213,5094161.191949153,3126.8,-1.589735655737705,2010
412392.8988041325,5094148.545883518,3130.0,-1.3639634328358208,2009
412332.62652868417,5094184.722977469,3130.0,-0.47614763231197776,2008
412352.4366162048,5094175.33544673,3130.0,-1.345189024390244,2007
412392.8988041325,5094148.545883518,3130.0,-1.30024930362117,2014
412372.1680339083,5094161.950498379,3134.0,-0.5795702479338842,2006
412365.37799524714,5094832.9112338945,3136.0,-1.854116485013624,2015
412412.3674006126,5094832.986168875,3139.0,-2.0419408077994428,2014
412367.02641230467,5094865.870318903,3142.0,-2.01389217032967,2019
412407.98034739244,5094864.064550163,3144.0,-1.8822157258064518,2020
412424.71370866545,5094850.7385539645,3148.0,-2.898921016483517,2016
412456.3193960844,5094831.121392377,3151.0,-0.9225797002724795,2013
412482.3223188897,5094831.609361142,3154.0,-1.8401453804347825,2011
412453.5573527048,5094843.172669853,3155.0,-2.04068047752809,2018
412453.5573527048,5094843.172669853,3155.0,-2.318843918918919,2017
412479.20623865403,5094825.672232213,3159.0,-2.1106659836065575,2010
412521.35620386864,5094833.840344587,3165.0,-1.8364525139664807,2009
413000.70352454094,5093892.647444336,3236.0,-0.4948548387096774,2020
413009.65835965483,5093890.471726792,3239.0,0.2709271978021978,2019
