# Mass Balance;  Findelen; 16; annual
# name; date0; time0; date1; time1; period; date_quality; x_pos ; y_pos ; z_pos ; position_quality; mb_raw ; density ;  density_quality ; mb_we ; measurement_quality ; measurement_type ; mb_error ; reading_error ; density_error ; error_evaluation_method; source
# (-);  (yyyymmdd); (hhmm) ; (yyyymmdd); (hhmm) ; (d) ; (#) ; (m) ; (m) ; (m a.s.l.) ; (#) ; (cm) ; (kg m-3) ; (#) ; (mm w.e.) ; (#) ; (#) ; (mm w.e.) ; (mm w.e.) ; (mm w.e.) ; (#) ; (-) 
#  GLAMOS / VAW-ETHZ    ; production-date 20231108 ;   reference ; http://www.glamos.ch
        320   20081012 1200   20091006 1200  359.0  1   630956.0  95254.0  2720.0   2  -641   900   1  -5769   1   1    97    45    86   0  mh,al,ns,ufr,uzh
        500   20081012 1200   20091006 1200  359.0  1   632128.0  95037.0  2935.0   2  -229   900   1  -2061   1   1    54    45    30   0  mh,al,ns,ufr,uzh
        610   20081012 1200   20091006 1200  359.0  1   632397.0  95005.0  2883.0   2  -317   900   1  -2853   1   1    62    45    42   0  mh,al,ns,ufr,uzh
        800   20081012 1200   20091006 1200  359.0  1   633259.0  93876.0  3130.0   2   -52   900   1   -468   1   1    45    45     7   0  mh,al,ns,ufr,uzh
        910   20081012 1200   20091006 1200  359.0  1   634293.0  94427.0  3280.0   2    41   522   3    214   1   1    31    26    17   0  mh,al,ns,ufr,uzh
       1010   20081012 1200   20091006 1200  359.0  1   635085.0  93915.0  3349.0   2   181   522   2    944   1   3    53    26    47   0  mh,al,ns,ufr,uzh
        110   20091006 1200   20100929 1200  358.0  1   629947.0  95564.0  2597.0   2  -769   900   1  -6921   1   1   113    45   103   0  mh,al,ns,ufr,uzh
        120   20091006 1200   20100929 1200  358.0  1   629988.0  95430.0  2586.0   2  -779   900   1  -7011   1   1   114    45   105   0  mh,al,ns,ufr,uzh
        200   20091006 1200   20100929 1200  358.0  1   630318.0  95450.0  2629.0   2  -663   900   1  -5967   1   1   100    45    89   0  mh,al,ns,ufr,uzh
        310   20091006 1200   20100929 1200  358.0  1   630877.0  95491.0  2700.0   2  -549   900   1  -4941   1   1    86    45    74   0  mh,al,ns,ufr,uzh
        320   20091006 1200   20100929 1200  358.0  1   630994.0  95228.0  2712.0   2  -611   900   1  -5499   1   1    93    45    82   0  mh,al,ns,ufr,uzh
        400   20091006 1200   20100929 1200  358.0  1   631518.0  95376.0  2810.0   2  -470   900   1  -4230   1   1    77    45    63   0  mh,al,ns,ufr,uzh
        500   20091005 1200   20100929 1200  359.0  1   632186.0  95034.0  2936.0   2  -298   900   1  -2682   1   1    60    45    40   0  mh,al,ns,ufr,uzh
        610   20091005 1200   20100929 1200  359.0  1   632422.0  94966.0  2883.0   2  -307   900   1  -2763   1   1    61    45    41   0  mh,al,ns,ufr,uzh
        700   20091005 1200   20100929 1200  359.0  1   632531.0  94316.0  3047.0   2  -237   900   1  -2133   1   1    55    45    31   0  mh,al,ns,ufr,uzh
        800   20091005 1200   20100905 1200  335.0  1   633320.0  93841.0  3130.0   2  -139   900   1  -1251   1   1    48    45    18   0  mh,al,ns,ufr,uzh
        810   20091006 1200   20100929 1200  358.0  1   633435.0  94529.0  3165.0   2  -200   900   1  -1800   1   1    52    45    26   0  mh,al,ns,ufr,uzh
        820   20091006 1200   20100905 1200  334.0  1   632557.0  93740.0  3097.0   2  -190   900   1  -1710   1   1    51    45    25   0  mh,al,ns,ufr,uzh
       1010   20091006 1200   20100929 1200  358.0  1   635094.0  93920.0  3349.0   4    90   382   2    343   1   3    25    19    17   0  mh,al,ns,ufr,uzh
       1020   20091006 1200   20100929 1200  358.0  1   633843.0  92468.0  3392.0   2   240   457   2   1096   1   3    59    22    54   0  mh,al,ns,ufr,uzh
        110   20100929 1200   20110930 1200  366.0  1   629993.0  95566.0  2556.0   2  -960   900   1  -8640   1   1   137    45   129   0  mh,al,ns,ufr,uzh
        120   20100929 1200   20110930 1200  366.0  1   629995.0  95562.0  2613.0   2  -852   900   1  -7668   1   1   123    45   115   0  mh,al,ns,ufr,uzh
